Account,Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date,Quantity,T Price,C Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,,Exchange Symbol
Interactive Brokers,Trades,Data,Order,Stocks,USD,BABA,28/03/2024,2.7636,72.368293,72.36,-199.9970145,-1.09,201.0870145,0,-0.0229,O,RI,BABA
Interactive Brokers,Trades,Data,Order,Stocks,USD,BABA,04/04/2024,2.7422,72.932326,71.95,-199.9950244,-1.09,201.0850244,0,-2.6937,O,RI,BABA
Interactive Brokers,Trades,Data,Order,Stocks,USD,BABA,11/04/2024,2.6718,74.854875,74.85,-199.997255,-1.09,201.087255,0,-0.013,O,RI,BABA
Interactive Brokers,Trades,Data,Order,Stocks,USD,BABA,18/04/2024,2.8898,69.206667,68.88,-199.9934263,-1.09,201.0834263,0,-0.944,O,RI,BABA
Interactive Brokers,Trades,Data,Order,Stocks,USD,BABA,14/06/2024,1,73.86,73.35,-73.86,-0.805074,74.665074,0,-0.51,O,,BABA
Interactive Brokers,Trades,Data,Order,Stocks,USD,BABA,02/07/2024,7,72.1,73.68,-504.7,-1.09,505.79,0,11.06,O,,BABA
Interactive Brokers,Trades,Data,Order,Stocks,USD,BABA,17/07/2024,9,77.68,77.04,-699.12,-1.09,700.21,0,-5.76,O,,BABA
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,16/06/2024,-654,5.77095,,3774.2013,0,,,-0.723497,AFx,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,16/06/2024,-4,5.7708,,23.0832,0,,,-0.004529,AFx,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,17/06/2024,0.87962065,5.77885479,,-5.083200001,0,,,-0.00023,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,17/06/2024,0.08198653,5.77897374,,-0.473797998,0,,,-0.000023,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,28/06/2024,-4,5.745,,22.98,0,,,-0.009293,AFx,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,28/06/2024,-648,5.74565,,3723.1812,0,,,-1.432353,AFx,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,28/06/2024,-0.44207653,5.75677245,,2.544934,0,,,-0.000124,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,28/06/2024,0.86462776,5.75970404,,-4.980000002,0,,,-0.000199,,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,01/07/2024,-4,5.75155,,23.0062,0,,,-0.007274,AFx,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,01/07/2024,-640,5.75205,,3681.312,0,,,-1.108302,AFx,,SGD.HKD HK
Interactive Brokers,Trades,Data,Order,Forex,HKD,SGD.HKD,02/07/2024,-0.07167758,5.76023877,,0.412879998,0,,,-0.000023,,,SGD.HKD HK
